<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SMLT;W;09/10/23;000000;3911.5;4018.5;3879.5;3988.5;941372
SMLT;W;16/10/23;000000;4028;4132.5;4001;4050;871820
SMLT;W;23/10/23;000000;4055;4199;3925;4009;1298376
SMLT;W;30/10/23;000000;4010;4035;3904;3942.5;740209
SMLT;W;06/11/23;000000;3943.5;3998;3910.5;3979;416541
SMLT;W;13/11/23;000000;3979.5;4080;3858.5;3949;725142
SMLT;W;20/11/23;000000;3950.5;4060;3909;3992.5;550255
SMLT;W;27/11/23;000000;3992.5;4007.5;3871;3890.5;274672
SMLT;W;04/12/23;000000;3891;3961.5;3784.5;3855;488138
SMLT;W;11/12/23;000000;3850.5;3973;3751;3912;627999
SMLT;W;18/12/23;000000;3913;4040.5;3848;3993.5;449079
SMLT;W;25/12/23;000000;3994;4034;3682;3849.5;869487
SMLT;W;01/01/24;000000;3851;3920;3842;3886;78902
SMLT;W;08/01/24;000000;3895;4038;3840;3844.5;375297
SMLT;W;15/01/24;000000;3847.5;3887;3810.5;3823;329981
SMLT;W;22/01/24;000000;3820;3886;3795.5;3829;339067
SMLT;W;29/01/24;000000;3844;3907.5;3700;3796;1047014
SMLT;W;05/02/24;000000;3800;3835;3700;3738;902504
SMLT;W;12/02/24;000000;3738.5;3818;3630;3680.5;859524
SMLT;W;19/02/24;000000;3680;3704.5;3502;3552.5;649602
SMLT;W;26/02/24;000000;3564;3740.5;3560;3683;1326127
SMLT;W;04/03/24;000000;3701;3748.5;3625.5;3651.5;658194
SMLT;W;11/03/24;000000;3655.5;3707;3575.5;3633.5;531962
SMLT;W;18/03/24;000000;3634;3648;3401.5;3453;519968
SMLT;W;25/03/24;000000;3454;3649;3440;3576.5;599953
SMLT;W;01/04/24;000000;3591.5;3769.5;3582.5;3686;1057994
SMLT;W;08/04/24;000000;3719.5;3737;3573;3596.5;968772
SMLT;W;15/04/24;000000;3608;3828.5;3590;3785;2145296
SMLT;W;22/04/24;000000;3801;3889;3706;3713;1688373
SMLT;W;29/04/24;000000;3714;3778;3681;3691;437813
SMLT;W;06/05/24;000000;3692;3712.5;3551;3628;1147588
SMLT;W;13/05/24;000000;3627.5;3641.5;3455.5;3529;1047848
SMLT;W;20/05/24;000000;3519;3645;3450;3493.5;1475359
SMLT;W;27/05/24;000000;3501.5;3509;3031.5;3116;1431057
SMLT;W;03/06/24;000000;3100;3498;2950;3331.5;1611763
SMLT;W;10/06/24;000000;3358;3375;2954.5;3220;654886
SMLT;W;17/06/24;000000;3223;3234.5;2917.5;3040.5;719145
SMLT;W;24/06/24;000000;3040.5;3090;2935;3045;555340
SMLT;W;01/07/24;000000;3081.5;3135;2924;3006.5;611636
SMLT;W;08/07/24;000000;3006.5;3019;2730;2867;1218621
SMLT;W;15/07/24;000000;2867;2941.5;2768;2906.5;521033
SMLT;W;22/07/24;000000;2924.5;2977.5;2778.5;2809.5;579334
SMLT;W;29/07/24;000000;2798.5;2814;2635;2646.5;587255
SMLT;W;05/08/24;000000;2610;2666.5;2530.5;2603.5;637210
SMLT;W;12/08/24;000000;2604;2610;2445;2458;540600
SMLT;W;19/08/24;000000;2470.5;2483.5;2102;2197.5;1313518
SMLT;W;26/08/24;000000;2270;2276.5;1913.5;1926.5;1993960
SMLT;W;02/09/24;000000;1896;2065;1751;1958;3408453
SMLT;W;09/09/24;000000;1972;2043;1720;1866;3549209
SMLT;W;16/09/24;000000;1890;1922;1774;1826;3309096
SMLT;W;23/09/24;000000;1840;1985;1817.5;1955;3745460
SMLT;W;30/09/24;000000;1967.5;2013.5;1812.5;1876.5;2305310
SMLT;W;07/10/24;000000;1876.5;1885;1805;1831;1293788
SMLT;W;14/10/24;000000;1833.5;1908;1795.5;1848;1345582
SMLT;W;21/10/24;000000;1857;1858;1560;1592.5;4299141
SMLT;W;28/10/24;000000;1560;1570;1299;1438;15517365
SMLT;W;04/11/24;000000;1442.5;1478;1234.5;1325;17659049
SMLT;W;11/11/24;000000;1331.5;1412;1278.5;1365;16093079
SMLT;W;18/11/24;000000;1345;1409;1254;1276;9017413
SMLT;W;25/11/24;000000;1266;1268;885.5;1017;45687382
SMLT;W;02/12/24;000000;1020.5;1052;885;929;22623427
SMLT;W;09/12/24;000000;936;940.5;870.5;887;18436190
SMLT;W;16/12/24;000000;881.5;984.5;820.5;965;18845407
SMLT;W;23/12/24;000000;996;1070;905;993;30145653
SMLT;W;30/12/24;000000;1008;1055;1002.5;1009.5;6002980
SMLT;W;06/01/25;000000;996.5;1029.5;968;996;8227841
SMLT;W;13/01/25;000000;1012;1287;983;1271;30005791
SMLT;W;20/01/25;000000;1315;1398.5;1194;1343.5;72666311
SMLT;W;27/01/25;000000;1346;1373;1240.5;1307;29965029
SMLT;W;03/02/25;000000;1304;1320;1195.5;1265;20252021
SMLT;W;10/02/25;000000;1282;1419.5;1230;1306;26472400
SMLT;W;17/02/25;000000;1328;1391.5;1306.5;1339.5;10078116
SMLT;W;24/02/25;000000;1339;1550;1335.5;1407;26301546
SMLT;W;03/03/25;000000;1407;1482;1328;1450.5;15312614
SMLT;W;10/03/25;000000;1464;1469.5;1366;1438;6575156
SMLT;W;17/03/25;000000;1439.5;1543.5;1421;1463.5;12730789
SMLT;W;24/03/25;000000;1460.5;1467.5;1221;1232.5;11266373
SMLT;W;31/03/25;000000;1203;1316;1111;1148;18158604
SMLT;W;07/04/25;000000;1116.5;1200;945.5;1152;19308825
SMLT;W;14/04/25;000000;1161.5;1188;1074;1157;11022026
SMLT;W;21/04/25;000000;1175;1316;1163;1282.5;16231645
SMLT;W;28/04/25;000000;1282.5;1300;1102;1125;7510081
